2018-09-25 20:27:07,217 - jnordin - INFO - There were 183 candidates reported 2018-09-23
2018-09-25 20:27:07,217 - jnordin - INFO - There were 183 candidates reported 2018-09-23
2018-09-25 20:27:09,096 - jnordin - INFO - Out of these 47 already have Marshal type and will be skipped.
2018-09-25 20:27:09,096 - jnordin - INFO - Out of these 47 already have Marshal type and will be skipped.
2018-09-25 20:27:11,036 - jnordin - INFO - 3 have a catalog z larger than 0.1  and will be skipped.
2018-09-25 20:27:11,036 - jnordin - INFO - 3 have a catalog z larger than 0.1  and will be skipped.
2018-09-25 20:27:12,272 - jnordin - INFO - Detected 9 already saved candidates and 124 new
2018-09-25 20:27:12,272 - jnordin - INFO - Detected 9 already saved candidates and 124 new
2018-09-25 20:27:15,966 - jnordin - INFO - 2018-09-23: Skipping ZTF18abwusgl, less than 5 detections
2018-09-25 20:27:15,966 - jnordin - INFO - 2018-09-23: Skipping ZTF18abwusgl, less than 5 detections
2018-09-25 20:27:15,975 - jnordin - INFO - 2018-09-23: Skipping ZTF18abslxpd, age 39.03981479955837 longer than limit 30
2018-09-25 20:27:15,975 - jnordin - INFO - 2018-09-23: Skipping ZTF18abslxpd, age 39.03981479955837 longer than limit 30
2018-09-25 20:27:15,979 - jnordin - INFO - 2018-09-23: Skipping ZTF18abyenql, less than 5 detections
2018-09-25 20:27:15,979 - jnordin - INFO - 2018-09-23: Skipping ZTF18abyenql, less than 5 detections
2018-09-25 20:27:15,985 - jnordin - INFO - 2018-09-23: Skipping ZTF18aaupjtd, age 46.06000000005588 longer than limit 30
2018-09-25 20:27:15,985 - jnordin - INFO - 2018-09-23: Skipping ZTF18aaupjtd, age 46.06000000005588 longer than limit 30
2018-09-25 20:27:15,998 - jnordin - INFO - 2018-09-23: Skipping ZTF18ablwolq, only 1 filters
2018-09-25 20:27:15,998 - jnordin - INFO - 2018-09-23: Skipping ZTF18ablwolq, only 1 filters
2018-09-25 20:27:16,001 - jnordin - INFO - 2018-09-23: Skipping ZTF18aayaphx, age 46.996886500157416 longer than limit 30
2018-09-25 20:27:16,001 - jnordin - INFO - 2018-09-23: Skipping ZTF18aayaphx, age 46.996886500157416 longer than limit 30
2018-09-25 20:27:16,005 - jnordin - INFO - 2018-09-23: Skipping ZTF18aamhnti, age 49.95512729976326 longer than limit 30
2018-09-25 20:27:16,005 - jnordin - INFO - 2018-09-23: Skipping ZTF18aamhnti, age 49.95512729976326 longer than limit 30
2018-09-25 20:27:16,012 - jnordin - INFO - 2018-09-23: Skipping ZTF18abnvotk, age 35.85531250014901 longer than limit 30
2018-09-25 20:27:16,012 - jnordin - INFO - 2018-09-23: Skipping ZTF18abnvotk, age 35.85531250014901 longer than limit 30
2018-09-25 20:27:16,034 - jnordin - INFO - 2018-09-23: Skipping ZTF18abhpdpk, never reached limit 19.5
2018-09-25 20:27:16,034 - jnordin - INFO - 2018-09-23: Skipping ZTF18abhpdpk, never reached limit 19.5
2018-09-25 20:27:16,041 - jnordin - INFO - 2018-09-23: Skipping ZTF18abvvyro, less than 5 detections
2018-09-25 20:27:16,041 - jnordin - INFO - 2018-09-23: Skipping ZTF18abvvyro, less than 5 detections
2018-09-25 20:27:16,051 - jnordin - INFO - 2018-09-23: Skipping ZTF18abehrdw, age 45.064872700255364 longer than limit 30
2018-09-25 20:27:16,051 - jnordin - INFO - 2018-09-23: Skipping ZTF18abehrdw, age 45.064872700255364 longer than limit 30
2018-09-25 20:27:16,056 - jnordin - INFO - 2018-09-23: Skipping ZTF18absmsbm, never reached limit 19.5
2018-09-25 20:27:16,056 - jnordin - INFO - 2018-09-23: Skipping ZTF18absmsbm, never reached limit 19.5
2018-09-25 20:27:16,061 - jnordin - INFO - 2018-09-23: Skipping ZTF18aaodyze, age 42.88599539967254 longer than limit 30
2018-09-25 20:27:16,061 - jnordin - INFO - 2018-09-23: Skipping ZTF18aaodyze, age 42.88599539967254 longer than limit 30
