2018-09-28 22:28:37,719 - jnordin - INFO - Cutting down alert info to subset with nrefframes keyword
2018-09-28 22:28:39,624 - jnordin - INFO - There were 323 candidates reported 2018-09-28
2018-09-28 22:28:47,351 - jnordin - INFO - Out of these 70 already have Marshal type and will be skipped.
2018-09-28 22:28:52,603 - jnordin - INFO - 36 have a catalog z larger than 0.1  and will be skipped.
2018-09-28 22:28:56,913 - jnordin - INFO - Detected 28 already saved candidates and 189 new
2018-09-28 22:29:04,044 - jnordin - INFO - 2018-09-28: Skipping ZTF18abdmejr, never reached limit 19.5
2018-09-28 22:29:04,047 - jnordin - INFO - 2018-09-28: Skipping ZTF18abvvokw, less than 5 detections
2018-09-28 22:29:04,057 - jnordin - INFO - 2018-09-28: Skipping ZTF18abuyuqy, never reached limit 19.5
2018-09-28 22:29:04,070 - jnordin - INFO - 2018-09-28: Skipping ZTF18aabsijj, less than 5 detections
2018-09-28 22:29:04,079 - jnordin - INFO - 2018-09-28: Skipping ZTF18abtvbzx, never reached limit 19.5
2018-09-28 22:29:04,082 - jnordin - INFO - 2018-09-28: Skipping ZTF18absrdom, never reached limit 19.5
2018-09-28 22:29:04,086 - jnordin - INFO - 2018-09-28: Skipping ZTF18abszecm, never reached limit 19.5
2018-09-28 22:29:04,092 - jnordin - INFO - 2018-09-28: Skipping ZTF18aaqzhib, only 1 filters
2018-09-28 22:29:04,101 - jnordin - INFO - 2018-09-28: Skipping ZTF18abehrdw, less than 5 detections
2018-09-28 22:29:04,112 - jnordin - INFO - 2018-09-28: Skipping ZTF18abfnnkc, never reached limit 19.5
2018-09-28 22:29:04,116 - jnordin - INFO - 2018-09-28: Skipping ZTF18abdbysy, less than 5 detections
2018-09-28 22:29:04,127 - jnordin - INFO - 2018-09-28: Skipping ZTF18abifdpl, less than 5 detections
2018-09-28 22:29:04,133 - jnordin - INFO - 2018-09-28: Skipping ZTF18absccoi, never reached limit 19.5
2018-09-28 22:29:04,137 - jnordin - INFO - 2018-09-28: Skipping ZTF18aatzuep, never reached limit 19.5
2018-09-28 22:29:04,141 - jnordin - INFO - 2018-09-28: Skipping ZTF18ablcwde, less than 5 detections
2018-09-28 22:29:04,145 - jnordin - INFO - 2018-09-28: Skipping ZTF18abtmcdb, less than 5 detections
2018-09-28 22:29:04,150 - jnordin - INFO - 2018-09-28: Skipping ZTF18abuzfxq, never reached limit 19.5
2018-09-28 22:29:04,156 - jnordin - INFO - 2018-09-28: Skipping ZTF18abvcrsv, only 1 filters
