2018-11-10 18:04:22,976 - jnordin - INFO - Cutting down alert info to subset with nrefframes keyword
2018-11-10 18:04:24,523 - jnordin - INFO - There were 250 candidates reported 2018-11-09
2018-11-10 18:04:28,104 - jnordin - INFO - Out of these 22 already have Marshal type and will be skipped.
2018-11-10 18:04:33,680 - jnordin - INFO - 34 have a catalog z larger than 0.1  and will be skipped.
2018-11-10 18:06:22,364 - jnordin - INFO - Out of these 22 already have Marshal type and will be skipped.
2018-11-10 18:06:25,549 - jnordin - INFO - 39 have a catalog z larger than 0.1 or are qsos and will be skipped.
2018-11-10 18:06:32,257 - jnordin - INFO - Detected 12 already saved candidates and 177 new
2018-11-10 18:06:47,479 - jnordin - INFO - 2018-11-09: Skipping ZTF18abajeow, less than 4 detections
2018-11-10 18:06:47,482 - jnordin - INFO - 2018-11-09: Skipping ZTF18aawbqgo, less than 4 detections
2018-11-10 18:06:47,484 - jnordin - INFO - 2018-11-09: Skipping ZTF18acchjgz, never reached limit 19.5
2018-11-10 18:06:47,490 - jnordin - INFO - 2018-11-09: Skipping ZTF18abctten, only 1 filters
2018-11-10 18:06:47,492 - jnordin - INFO - 2018-11-09: Skipping ZTF18abyjgcx, less than 4 detections
2018-11-10 18:06:47,495 - jnordin - INFO - 2018-11-09: Skipping ZTF18abtrktm, less than 4 detections
2018-11-10 18:06:47,498 - jnordin - INFO - 2018-11-09: Skipping ZTF18abacmps, only 1 filters
2018-11-10 18:06:47,501 - jnordin - INFO - 2018-11-09: Skipping ZTF18acefxqt, never reached limit 19.5
2018-11-10 18:06:47,504 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbwgli, less than 4 detections
2018-11-10 18:06:47,508 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbuyaf, never reached limit 19.5
2018-11-10 18:06:47,510 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbyxxo, never reached limit 19.5
2018-11-10 18:06:47,515 - jnordin - INFO - 2018-11-09: Skipping ZTF18accsane, less than 4 detections
2018-11-10 18:06:47,517 - jnordin - INFO - 2018-11-09: Skipping ZTF18aajswer, less than 4 detections
2018-11-10 18:06:47,519 - jnordin - INFO - 2018-11-09: Skipping ZTF18abnzlzg, less than 4 detections
2018-11-10 18:06:47,521 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbvzta, less than 4 detections
2018-11-10 18:06:47,527 - jnordin - INFO - 2018-11-09: Skipping ZTF18abtoofz, less than 4 detections
2018-11-10 18:06:47,529 - jnordin - INFO - 2018-11-09: Skipping ZTF18accndxn, less than 4 detections
2018-11-10 18:06:47,533 - jnordin - INFO - 2018-11-09: Skipping ZTF18abupjuc, less than 4 detections
2018-11-10 18:06:47,538 - jnordin - INFO - 2018-11-09: Skipping ZTF18acfhrnl, never reached limit 19.5
2018-11-10 18:06:47,540 - jnordin - INFO - 2018-11-09: Skipping ZTF18acdyopn, never reached limit 19.5
2018-11-10 18:06:47,543 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbzldg, less than 4 detections
2018-11-10 18:06:47,548 - jnordin - INFO - 2018-11-09: Skipping ZTF18abacubv, less than 4 detections
2018-11-10 18:06:47,550 - jnordin - INFO - 2018-11-09: Skipping ZTF18abywclh, never reached limit 19.5
2018-11-10 18:06:47,575 - jnordin - INFO - 2018-11-09: Skipping ZTF18acciebn, less than 4 detections
2018-11-10 18:06:47,578 - jnordin - INFO - 2018-11-09: Skipping ZTF18acapyww, less than 4 detections
2018-11-10 18:06:47,585 - jnordin - INFO - 2018-11-09: Skipping ZTF18abbrizh, less than 4 detections
2018-11-10 18:06:47,589 - jnordin - INFO - 2018-11-09: Skipping ZTF18accbuhi, less than 4 detections
2018-11-10 18:06:47,594 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbvmjq, only 1 filters
2018-11-10 18:06:47,601 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbwnsh, less than 4 detections
2018-11-10 18:06:47,608 - jnordin - INFO - 2018-11-09: Skipping ZTF18accfjmp, less than 4 detections
2018-11-10 18:06:47,612 - jnordin - INFO - 2018-11-09: Skipping ZTF18abdjxqy, never reached limit 19.5
2018-11-10 18:06:47,615 - jnordin - INFO - 2018-11-09: Skipping ZTF18accjwuu, never reached limit 19.5
2018-11-10 18:06:47,623 - jnordin - INFO - 2018-11-09: Skipping ZTF18aacinqt, less than 4 detections
2018-11-10 18:06:47,625 - jnordin - INFO - 2018-11-09: Skipping ZTF18abmmnqf, never reached limit 19.5
2018-11-10 18:06:47,632 - jnordin - INFO - 2018-11-09: Skipping ZTF18abuyhea, less than 4 detections
2018-11-10 18:06:47,637 - jnordin - INFO - 2018-11-09: Skipping ZTF18abjvcel, less than 4 detections
2018-11-10 18:06:47,678 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbwpoc, less than 4 detections
2018-11-10 18:06:47,686 - jnordin - INFO - 2018-11-09: Skipping ZTF18acdwdep, less than 4 detections
2018-11-10 18:06:47,692 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbyqdo, never reached limit 19.5
2018-11-10 18:06:47,700 - jnordin - INFO - 2018-11-09: Skipping ZTF18accdzju, less than 4 detections
2018-11-10 18:06:47,708 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbwdym, never reached limit 19.5
2018-11-10 18:06:47,712 - jnordin - INFO - 2018-11-09: Skipping ZTF18aacmnbd, only 1 filters
2018-11-10 18:06:47,714 - jnordin - INFO - 2018-11-09: Skipping ZTF18acebefc, less than 4 detections
2018-11-10 18:06:47,725 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbwomm, less than 4 detections
2018-11-10 18:06:47,729 - jnordin - INFO - 2018-11-09: Skipping ZTF18abcjwwx, less than 4 detections
2018-11-10 18:06:47,733 - jnordin - INFO - 2018-11-09: Skipping ZTF18aakaajs, less than 4 detections
2018-11-10 18:06:47,737 - jnordin - INFO - 2018-11-09: Skipping ZTF18abzzddo, less than 4 detections
2018-11-10 18:06:47,741 - jnordin - INFO - 2018-11-09: Skipping ZTF18acfaljr, less than 4 detections
2018-11-10 18:06:47,748 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbwqbd, never reached limit 19.5
2018-11-10 18:06:47,753 - jnordin - INFO - 2018-11-09: Skipping ZTF18abmsmtt, less than 4 detections
2018-11-10 18:06:47,760 - jnordin - INFO - 2018-11-09: Skipping ZTF18aawzxky, less than 4 detections
2018-11-10 18:06:47,764 - jnordin - INFO - 2018-11-09: Skipping ZTF18acehiav, less than 4 detections
2018-11-10 18:06:47,768 - jnordin - INFO - 2018-11-09: Skipping ZTF18accdorj, less than 4 detections
2018-11-10 18:06:47,771 - jnordin - INFO - 2018-11-09: Skipping ZTF18abdfrmh, less than 4 detections
2018-11-10 18:06:47,773 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbzoxo, never reached limit 19.5
2018-11-10 18:06:47,775 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbxutv, never reached limit 19.5
2018-11-10 18:06:47,777 - jnordin - INFO - 2018-11-09: Skipping ZTF18abryyjs, less than 4 detections
2018-11-10 18:06:47,779 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbwcbj, less than 4 detections
2018-11-10 18:06:47,780 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbwpsb, never reached limit 19.5
2018-11-10 18:06:47,782 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbuxby, less than 4 detections
2018-11-10 18:06:47,784 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbwrzi, less than 4 detections
2018-11-10 18:06:47,786 - jnordin - INFO - 2018-11-09: Skipping ZTF18aaswmoy, never reached limit 19.5
2018-11-10 18:06:47,791 - jnordin - INFO - 2018-11-09: Skipping ZTF18abuxkrh, less than 4 detections
2018-11-10 18:06:47,793 - jnordin - INFO - 2018-11-09: Skipping ZTF18acftycf, never reached limit 19.5
2018-11-10 18:06:47,801 - jnordin - INFO - 2018-11-09: Skipping ZTF18acceqkm, less than 4 detections
2018-11-10 18:06:47,805 - jnordin - INFO - 2018-11-09: Skipping ZTF18acegsfm, less than 4 detections
2018-11-10 18:06:47,809 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbvzni, never reached limit 19.5
2018-11-10 18:06:47,816 - jnordin - INFO - 2018-11-09: Skipping ZTF18abtpite, less than 4 detections
2018-11-10 18:06:47,823 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbybzj, less than 4 detections
2018-11-10 18:06:47,827 - jnordin - INFO - 2018-11-09: Skipping ZTF18acapxrt, less than 4 detections
2018-11-10 18:06:47,830 - jnordin - INFO - 2018-11-09: Skipping ZTF18aaxlspv, less than 4 detections
2018-11-10 18:06:47,833 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbvmcl, never reached limit 19.5
2018-11-10 18:06:47,846 - jnordin - INFO - 2018-11-09: Skipping ZTF18acaqcdg, less than 4 detections
2018-11-10 18:06:47,850 - jnordin - INFO - 2018-11-09: Skipping ZTF18aawlxuu, less than 4 detections
2018-11-10 18:06:47,852 - jnordin - INFO - 2018-11-09: Skipping ZTF18abrrizf, less than 4 detections
2018-11-10 18:06:47,861 - jnordin - INFO - 2018-11-09: Skipping ZTF18acdzzyf, less than 4 detections
2018-11-10 18:06:47,864 - jnordin - INFO - 2018-11-09: Skipping ZTF18acchhpf, less than 4 detections
2018-11-10 18:06:47,872 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbvhzt, never reached limit 19.5
2018-11-10 18:06:47,874 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbxpki, less than 4 detections
2018-11-10 18:06:47,876 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbwtng, less than 4 detections
2018-11-10 18:06:47,880 - jnordin - INFO - 2018-11-09: Skipping ZTF18acenevo, less than 4 detections
2018-11-10 18:06:47,882 - jnordin - INFO - 2018-11-09: Skipping ZTF18abtmeds, less than 4 detections
2018-11-10 18:06:47,893 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbwpmr, less than 4 detections
2018-11-10 18:06:47,897 - jnordin - INFO - 2018-11-09: Skipping ZTF18aayjflv, less than 4 detections
2018-11-10 18:06:47,908 - jnordin - INFO - 2018-11-09: Skipping ZTF18abscyjj, never reached limit 19.5
2018-11-10 18:06:47,915 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbznpp, never reached limit 19.5
2018-11-10 18:06:47,917 - jnordin - INFO - 2018-11-09: Skipping ZTF18accdzjv, less than 4 detections
2018-11-10 18:06:47,928 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbzqoc, less than 4 detections
2018-11-10 18:06:47,939 - jnordin - INFO - 2018-11-09: Skipping ZTF18aawrmvo, less than 4 detections
2018-11-10 18:06:47,942 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbvqwb, never reached limit 19.5
2018-11-10 18:06:47,961 - jnordin - INFO - 2018-11-09: Skipping ZTF18abrzbtb, less than 4 detections
2018-11-10 18:06:47,971 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbwtmf, less than 4 detections
2018-11-10 18:06:47,973 - jnordin - INFO - 2018-11-09: Skipping ZTF18abyjjkb, less than 4 detections
2018-11-10 18:06:47,976 - jnordin - INFO - 2018-11-09: Skipping ZTF18accnlln, less than 4 detections
2018-11-10 18:06:47,978 - jnordin - INFO - 2018-11-09: Skipping ZTF18aabrzxo, less than 4 detections
2018-11-10 18:06:47,982 - jnordin - INFO - 2018-11-09: Skipping ZTF18acdotci, less than 4 detections
2018-11-10 18:06:47,985 - jnordin - INFO - 2018-11-09: Skipping ZTF18aaevepq, less than 4 detections
2018-11-10 18:06:47,989 - jnordin - INFO - 2018-11-09: Skipping ZTF18acguxkb, never reached limit 19.5
2018-11-10 18:06:47,991 - jnordin - INFO - 2018-11-09: Skipping ZTF18aabjmtd, less than 4 detections
2018-11-10 18:06:47,994 - jnordin - INFO - 2018-11-09: Skipping ZTF17aadktly, less than 4 detections
2018-11-10 18:06:47,999 - jnordin - INFO - 2018-11-09: Skipping ZTF18abotfhu, less than 4 detections
2018-11-10 18:06:48,002 - jnordin - INFO - 2018-11-09: Skipping ZTF18abvfpvi, less than 4 detections
2018-11-10 18:06:48,006 - jnordin - INFO - 2018-11-09: Skipping ZTF18acgjesp, less than 4 detections
2018-11-10 18:06:48,013 - jnordin - INFO - 2018-11-09: Skipping ZTF18abslcjp, less than 4 detections
