# Each column represents one block of the i-band survey
# Block 1: March - May
# Block 2: June
# Block 3: July
# Block 4: August
# Block 5: September - November
324 324 340 292 245 
326 326 341 293 246 
374 374 342 295 247 
375 375 377 296 248 
377 377 390 297 249 
424 390 391 340 250 
425 424 393 341 292 
426 425 394 342 293 
427 426 396 390 294 
474 427 440 391 295 
475 440 441 392 296 
476 441 442 393 297 
477 442 444 394 298 
478 474 445 396 299 
479 475 446 399 300 
480 476 447 400 340 
481 477 478 401 341 
482 478 479 440 342 
525 479 480 441 343 
526 480 481 442 344 
527 481 482 443 345 
528 482 491 444 346 
529 492 492 445 347 
530 493 493 446 348 
531 494 494 447 349 
532 525 495 448 350 
533 526 529 449 390 
534 527 530 450 391 
535 528 531 481 392 
576 529 532 482 393 
577 530 533 491 394 
578 531 534 492 395 
579 532 535 493 396 
580 533 543 494 397 
581 534 544 495 398 
582 535 545 496 399 
583 544 546 497 400 
584 547 547 498 401 
585 576 548 499 403 
586 577 549 500 440 
587 578 550 532 441 
622 579 552 533 442 
624 580 579 534 443 
625 581 580 535 444 
626 582 581 543 445 
627 583 582 544 446 
628 584 583 545 447 
629 585 584 546 448 
630 586 585 547 449 
631 587 586 548 450 
632 596 587 549 451 
633 597 593 550 452 
634 624 594 551 491 
635 625 596 552 492 
666 626 597 582 493 
667 627 600 583 494 
668 628 601 584 495 
669 629 602 585 496 
670 630 627 586 497 
671 631 628 587 498 
672 632 629 593 499 
673 633 630 594 500 
674 634 631 596 501 
675 635 632 597 502 
676 643 633 599 503 
677 645 634 600 504 
678 671 635 601 543 
679 672 643 602 544 
680 673 644 630 545 
681 674 645 631 546 
682 675 646 632 547 
683 676 647 633 548 
684 677 650 634 549 
711 678 651 635 550 
712 679 674 643 551 
714 680 675 644 552 
715 681 676 645 553 
716 682 677 646 554 
717 683 678 647 587 
718 684 679 648 593 
719 692 680 649 594 
720 714 681 650 596 
721 715 682 651 597 
722 716 683 676 599 
723 717 684 677 600 
724 718 691 678 601 
725 719 692 679 602 
726 720 693 680 604 
750 721 695 681 634 
751 722 696 682 635 
752 723 697 683 643 
753 724 717 684 644 
754 725 718 691 645 
755 726 719 692 646 
756 754 720 693 647 
757 755 721 694 648 
758 756 722 695 649 
759 757 723 696 650 
760 758 724 697 651 
761 759 725 719 652 
762 760 726 720 653 
763 761 736 721 680 
764 762 756 722 681 
765 763 757 723 682 
766 764 758 724 683 
787 765 759 725 684 
788 766 760 726 691 
789 788 761 736 692 
790 789 762 737 693 
791 790 763 738 694 
792 791 764 758 695 
793 792 765 759 696 
794 793 766 760 697 
795 794 790 761 698 
796 795 791 762 723 
797 796 792 763 724 
798 797 793 764 725 
817 798 794 765 726 
818 818 795 766 736 
819 819 796 792 737 
820 820 797 793 738 
821 821 798 794 761 
822 822 820 795 762 
823 823 821 796 763 
824 824 822 797 764 
825 825 823 798 765 
826 826 824 821 766 
827 827 825 822 795 
828 828 826 823 796 
842 842 827 824 797 
843 843 828 825 798 
844 844 843 826 824 
845 845 844 827 825 
846 846 845 828 826 
847 847 846 845 827 
848 848 847 846 828 
849 849 848 847 846 
860 860 849 848 847 
861 861 861 849 848 
862 862 862 862 849 
863 863 863 863 863 
864 864 864 864 864 
865 865 865 865 865 
